"ActivityID"	"Activity"	"SubjectID"	"Variable"	"STATS"	"Mode"	"AccelerationSignal"	"Type"	"AxialSignal"	"SignalDerivedTime"	"count"	"mean"
1	"WALKING"	1	"tBodyAcc-mean()-X"	"Mean"	"Time"	"Body"	"Acceleration"	"X"	NA	95	0.277330758736842
1	"WALKING"	1	"tBodyAcc-mean()-Y"	"Mean"	"Time"	"Body"	"Acceleration"	"Y"	NA	95	-0.0173838185273684
1	"WALKING"	1	"tBodyAcc-mean()-Z"	"Mean"	"Time"	"Body"	"Acceleration"	"Z"	NA	95	-0.111148103547368
1	"WALKING"	1	"tGravityAcc-mean()-X"	"Mean"	"Time"	"Gravity"	"Acceleration"	"X"	NA	95	0.935223201473684
1	"WALKING"	1	"tGravityAcc-mean()-Y"	"Mean"	"Time"	"Gravity"	"Acceleration"	"Y"	NA	95	-0.282165021263158
1	"WALKING"	1	"tGravityAcc-mean()-Z"	"Mean"	"Time"	"Gravity"	"Acceleration"	"Z"	NA	95	-0.068102864
1	"WALKING"	1	"tBodyAccJerk-mean()-X"	"Mean"	"Time"	"Body"	"Acceleration"	"X"	"Jerk"	95	0.0740416333157895
1	"WALKING"	1	"tBodyAccJerk-mean()-Y"	"Mean"	"Time"	"Body"	"Acceleration"	"Y"	"Jerk"	95	0.0282721095884211
1	"WALKING"	1	"tBodyAccJerk-mean()-Z"	"Mean"	"Time"	"Body"	"Acceleration"	"Z"	"Jerk"	95	-0.00416840617789474
1	"WALKING"	1	"tBodyGyro-mean()-X"	"Mean"	"Time"	"Body"	"Gyroscope"	"X"	NA	95	-0.041830963526
1	"WALKING"	1	"tBodyGyro-mean()-Y"	"Mean"	"Time"	"Body"	"Gyroscope"	"Y"	NA	95	-0.0695300462115789
1	"WALKING"	1	"tBodyGyro-mean()-Z"	"Mean"	"Time"	"Body"	"Gyroscope"	"Z"	NA	95	0.0849448173042105
1	"WALKING"	1	"tBodyGyroJerk-mean()-X"	"Mean"	"Time"	"Body"	"Gyroscope"	"X"	"Jerk"	95	-0.0899975423705263
1	"WALKING"	1	"tBodyGyroJerk-mean()-Y"	"Mean"	"Time"	"Body"	"Gyroscope"	"Y"	"Jerk"	95	-0.0398428709463158
1	"WALKING"	1	"tBodyGyroJerk-mean()-Z"	"Mean"	"Time"	"Body"	"Gyroscope"	"Z"	"Jerk"	95	-0.0461309295021053
1	"WALKING"	1	"tBodyAccMag-mean()"	"Mean"	"Time"	"Body"	"Acceleration"	NA	"Magnitude"	95	-0.136971176556842
1	"WALKING"	1	"tGravityAccMag-mean()"	"Mean"	"Time"	"Gravity"	"Acceleration"	NA	"Magnitude"	95	-0.136971176556842
1	"WALKING"	1	"tBodyAccJerkMag-mean()"	"Mean"	"Time"	"Body"	"Acceleration"	NA	"JerkMagnitude"	95	-0.141428809031579
1	"WALKING"	1	"tBodyGyroMag-mean()"	"Mean"	"Time"	"Body"	"Gyroscope"	NA	"Magnitude"	95	-0.160979552536842
1	"WALKING"	1	"tBodyGyroJerkMag-mean()"	"Mean"	"Time"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	95	-0.298703679084211
1	"WALKING"	1	"fBodyAcc-mean()-X"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	95	-0.202794306326316
1	"WALKING"	1	"fBodyAcc-mean()-Y"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Y"	NA	95	0.0897127264021053
1	"WALKING"	1	"fBodyAcc-mean()-Z"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Z"	NA	95	-0.331560117789474
1	"WALKING"	1	"fBodyAcc-meanFreq()-X"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	95	-0.207548374494737
1	"WALKING"	1	"fBodyAcc-meanFreq()-Y"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Y"	NA	95	0.113093646103158
1	"WALKING"	1	"fBodyAcc-meanFreq()-Z"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Z"	NA	95	0.0497265196172632
1	"WALKING"	1	"fBodyAccJerk-mean()-X"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"X"	"Jerk"	95	-0.170546964549579
1	"WALKING"	1	"fBodyAccJerk-mean()-Y"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Y"	"Jerk"	95	-0.0352255241130632
1	"WALKING"	1	"fBodyAccJerk-mean()-Z"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Z"	"Jerk"	95	-0.468999224631579
1	"WALKING"	1	"fBodyAccJerk-meanFreq()-X"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"X"	"Jerk"	95	-0.209261973376842
1	"WALKING"	1	"fBodyAccJerk-meanFreq()-Y"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Y"	"Jerk"	95	-0.386237143210526
